gene	seqnames	start	end	strand	type	product	ID	Name	copy_number	part	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
CTO											unknown	cluster_2	0.920447195121348	0.771771845916462	12.3216180956083	0.404528986436619
NOIR											unknown	cluster_7	0.999512979974009	0.998067550440527	1.97050953173418	0.140807302356436
NOIR											unknown	cluster_1	0.729756833358824	0.341613198446497	6.67784685225582	0.140771195112317
ORF1	NC_001491.2	1298	1906	+	CDS	membrane protein UL56	cds-YP_053045.1	ORF1	1	1	unknown	cluster_1	0.729756833358824	0.341613198446497	3.12483569263879	0.310584735738101
ORF10	NC_001491.2	12084	12386	+	CDS	envelope glycoprotein N	cds-YP_053055.1	ORF10	1	1	L	cluster_6	0.878062695973578	0.689051478036021	0	0
ORF11	NC_001491.2	12549	13463	+	CDS	tegument protein VP22	cds-YP_053056.1	ORF11	1	1	L	cluster_2	0.920447195121348	0.771771845916462	1.76603317513248	0.691214618826661
ORF12	NC_001491.2	13595	14944	+	CDS	transactivating tegument protein VP16	cds-YP_053057.2	ORF12	1	1	L	cluster_7	0.999512979974009	0.998067550440527	2.23277903193722	0.454953519933252
ORF13	NC_001491.2	15317	17932	+	CDS	tegument protein VP13/14	cds-YP_053058.1	ORF13	1	1	L	cluster_4	0.984644526289824	0.927865021435498	3.50714514143928	0.514671611974115
ORF14	NC_001491.2	18083	20326	+	CDS	tegument protein VP11/12	cds-YP_053059.1	ORF14	1	1	L	cluster_8	0.991457454370036	0.966696717390598	6.00999518195372	-0.218926572121894
ORF15	NC_001491.2	20487	21170	-	CDS	membrane protein UL45	cds-YP_053060.2	ORF15	1	1	unknown	cluster_9	0.893568673326936	0.759660971305766	8.0786159368106	0.74241844202253
ORF16	NC_001491.2	21445	22851	-	CDS	envelope glycoprotein C	cds-YP_053061.1	ORF16	1	1	L	cluster_9	0.893568673326936	0.759660971305766	1.65982231181559	0.801413934121422
ORF17	NC_001491.2	23029	24234	-	CDS	envelope protein UL43	cds-YP_053062.1	ORF17	1	1	L	cluster_5	0.987267245624675	0.951941162057395	1.66521974431063	0.233720629507432
ORF18	NC_001491.2	24479	25696	-	CDS	DNA polymerase processivity subunit	cds-YP_053063.1	ORF18	1	1	L	cluster_1	0.729756833358824	0.341613198446497	6.20233547614486	0.269788930509702
ORF19	NC_001491.2	26262	27755	+	CDS	tegument host shutoff protein	cds-YP_053064.1	ORF19	1	1	L	cluster_10	0.922020374168003	0.712285076987428	1.06013776471322	0.460842134984834
ORF2	NC_001491.2	1945	2562	-	CDS	membrane protein V1	cds-YP_053047.1	ORF2	1	1	unknown	cluster_2	0.920447195121348	0.771771845916462	4.21596883571139	0.603712035890264
ORF20	NC_001491.2	27894	28859	-	CDS	ribonucleotide reductase subunit 2	cds-YP_053065.1	ORF20	1	1	E	cluster_1	0.729756833358824	0.341613198446497	6.3190129257976	0.650532598041127
ORF21	NC_001491.2	28904	31276	-	CDS	ribonucleotide reductase subunit 1	cds-YP_053066.1	ORF21	1	1	E	cluster_1	0.729756833358824	0.341613198446497	5.86491283189208	0.264789247284085
ORF22	NC_001491.2	31519	32916	-	CDS	capsid triplex subunit 1	cds-YP_053067.1	ORF22	1	1	L	cluster_2	0.920447195121348	0.771771845916462	6.64046065117914	0.201778738366627
ORF23	NC_001491.2	33292	36354	+	CDS	tegument protein UL37	cds-YP_053068.1	ORF23	1	1	L	cluster_8	0.991457454370036	0.966696717390598	2.4747744821726	0.309901955915
