seqnames	strand	gene	Ref_Class	final_TX_ID	source	start.TR	end.TR	exon_number	start.exon	end.exon	CAGE.cluster.start	CAGE.cluster.end	CAGE_ID	CAGE_significance	CAGE_score	CAGE_support	TX_category	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_48h_1	EHV-1_48h_2	EHV-1_48h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3
NC_001491.2	+	CTO	CTO-S-AS	CTO-S-AS	Torma_et_al	73856	74182	1	73856	74182	NA	NA		NA	NA	NA	NA	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
NC_001491.2	+	NOIR	NOIR-Canonic	NOIR-Canonic	Torma_et_al	118878	119857	1	118878	119857	118852	118905	CAGE_cluster_835	***	24468.663319812	9	NA	82	55	61	26	20	10	0	0	0	18	17	15	2	7	8	52	29	13	1	3	5	24	22	20	23	37	34
NC_001491.2	+	NOIR	NOIR-ORF65-PC-Canonic	NOIR-ORF65-PC-Canonic	Torma_et_al	118811	122451	1	118811	122451	118807	118812	CAGE_cluster_834	**	827.784834717	3	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	NOIR	TR27	TR27	Torma_et_al	118878	119749	1	118878	119224	118852	118905	CAGE_cluster_835	***	24468.663319812	9	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	NOIR	TR27	TR27	Torma_et_al	118878	119749	2	119461	119749	118852	118905	CAGE_cluster_835	***	24468.663319812	9	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	NOIR	TR29	TR29	Torma_et_al	119050	119857	1	119050	119224	NA	NA		NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	NOIR	TR29	TR29	Torma_et_al	119050	119857	2	119461	119857	NA	NA		NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	NOIR	TR544	TR544	Torma_et_al	118878	119749	1	118878	119136	118852	118905	CAGE_cluster_835	***	24468.663319812	9	NA	1	2	1	1	0	0	0	0	0	1	1	1	0	0	1	3	1	0	1	0	1	0	2	1	0	0	1
NC_001491.2	+	NOIR	TR544	TR544	Torma_et_al	118878	119749	2	119461	119749	118852	118905	CAGE_cluster_835	***	24468.663319812	9	NA	1	2	1	1	0	0	0	0	0	1	1	1	0	0	1	3	1	0	1	0	1	0	2	1	0	0	1
NC_001491.2	+	NOIR	TR545	TR545	Torma_et_al	118878	119857	1	118878	119136	118852	118905	CAGE_cluster_835	***	24468.663319812	9	NA	4	3	3	3	5	1	0	0	0	2	4	1	8	1	3	10	7	2	0	1	3	3	2	2	3	2	4
