seqnames	type	CDS.start	CDS.end	strand	gene	gene_cluster	cluster	TSS.canonic	TES.canonic	cluster_TES	TSS.win.start	TSS.win.end	TES.win.start	TES.win.end	TSS.win.width	TES.win.width	Kinetic_class	Gene.width	individual_TES
NC_001491.2	gene	1298	1906	+	ORF1	ORF1	NA	1252	1923	1923	1242	1262	1913	1933	21	21	NA	671	
NC_001491.2	gene	1945	2562	-	ORF2	ORF2	NA	2672	1918	1918	2662	2682	1908	1928	21	21	NA	754	
NC_001491.2	gene	2841	3614	+	ORF3	ORF3	NA	2669	3632	3632	2659	2679	3622	3642	21	21	L	963	
NC_001491.2	gene	3647	4249	-	ORF4	ORF4	NA	4312	3635	3635	4302	4322	3625	3645	21	21	NA	677	
NC_001491.2	gene	4462	5874	-	ORF5	ORF7,  ORF6,  ORF5	C	5952	4391	4391	5942	5962	4381	4401	21	21	E	1561	
NC_001491.2	gene	6011	7042	-	ORF6	ORF7,  ORF6,  ORF5	B	7400	4391	4391	7390	7410	4381	4401	21	21	L	3009	
NC_001491.2	gene	10300	11037	+	ORF8	ORF8	NA	10080	11067	11067	10070	10090	11057	11077	21	21	L	987	
NC_001491.2	gene	7056	10301	-	ORF7	ORF7,  ORF6,  ORF5	A	10331	4391	4391	10321	10341	4381	4401	21	21	E	5940	
NC_001491.2	gene	12084	12386	+	ORF10	ORF10, ORF11	A	11990	13520	13520	11980	12000	13510	13530	21	21	L	1530	T
NC_001491.2	gene	11135	12115	-	ORF9	ORF9	NA	12260	11064	11064	12250	12270	11054	11074	21	21	L	1196	
NC_001491.2	gene	12549	13463	+	ORF11	ORF10, ORF11	B	12468	13520	13520	12458	12478	13510	13530	21	21	L	1052	T
NC_001491.2	gene	13595	14944	+	ORF12	ORF12, ORF13, ORF14	A	13528	20385	20385	13518	13538	20375	20395	21	21	L	6857	T
NC_001491.2	gene	15317	17932	+	ORF13	ORF12, ORF13, ORF14	B	15234	20385	20385	15224	15244	20375	20395	21	21	L	5151	
NC_001491.2	gene	18083	20326	+	ORF14	ORF12, ORF13, ORF14	C	17985	20385	20385	17975	17995	20375	20395	21	21	L	2400	
NC_001491.2	gene	20487	21170	-	ORF15	ORF18, ORF17, ORF16, ORF15	D	21209	20383	20383	21199	21219	20373	20393	21	21	NA	826	
NC_001491.2	gene	21445	22851	-	ORF16	ORF18, ORF17, ORF16, ORF15	C	22919	20383	20383	22909	22929	20373	20393	21	21	L	2536	
NC_001491.2	gene	23029	24234	-	ORF17	ORF18, ORF17, ORF16, ORF15	B	24276	23010	20383	24266	24286	23000	23020	21	21	L	1266	T
NC_001491.2	gene	24479	25696	-	ORF18	ORF18, ORF17, ORF16, ORF15	A	25769	24413	20383	25759	25779	24403	24423	21	21	L	1356	T
NC_001491.2	gene	26262	27755	+	ORF19	ORF19	NA	26161	27784	27784	26151	26171	27774	27794	21	21	L	1623	
NC_001491.2	gene	27894	28859	-	ORF20	ORF22, ORF21, ORF20	C	28983	27868	27868	28973	28993	27858	27878	21	21	E	1115	
NC_001491.2	gene	28904	31276	-	ORF21	ORF22, ORF21, ORF20	B	31344	27868	27868	31334	31354	27858	27878	21	21	E	3476	
NC_001491.2	gene	31519	32916	-	ORF22	ORF22, ORF21, ORF20	A	33053	31489	27868	33043	33063	31479	31499	21	21	L	1564	T
NC_001491.2	gene	33292	36354	+	ORF23	ORF23	NA	33237	36380	36380	33227	33247	36370	36390	21	21	L	3143	
NC_001491.2	gene	36588	46853	+	ORF24	ORF24	NA	36497	46890	46890	36487	36507	46880	46900	21	21	L	10393	
NC_001491.2	gene	46952	47311	-	ORF25	ORF27, ORF26, ORF25	C	47374	46895	46895	47364	47384	46885	46905	21	21	L	479	
NC_001491.2	gene	47403	48230	-	ORF26	ORF27, ORF26, ORF25	B	48286	46895	46895	48276	48296	46885	46905	21	21	L	1391	
NC_001491.2	gene	48763	50625	+	ORF28	ORF28, ORF29	A	48558	51693	51693	48548	48568	51683	51703	21	21	L	3135	
NC_001491.2	gene	48369	48791	-	ORF27	ORF27, ORF26, ORF25	A	49982	46895	46895	49972	49992	46885	46905	21	21	L	3087	
NC_001491.2	gene	50618	51598	+	ORF29	ORF28, ORF29	B	50573	51693	51693	50563	50583	51683	51703	21	21	L	1120	
NC_001491.2	gene	51522	55184	-	ORF30	ORF30	NA	55192	51486	51486	55182	55202	51476	51496	21	21	E	3706	
NC_001491.2	gene	55453	59082	+	ORF31	ORF31	NA	55322	59182	59182	55312	55332	59172	59192	21	21	E	3860	T
NC_001491.2	gene	59243	61570	+	ORF32	ORF32, ORF33, ORF34	A	59209	65093	65093	59199	59219	65083	65103	21	21	E	5884	
NC_001491.2	gene	61432	64374	+	ORF33	ORF32, ORF33, ORF34	B	61312	65093	65093	61302	61322	65083	65103	21	21	L	3781	
NC_001491.2	gene	64578	65060	+	ORF34	ORF32, ORF33, ORF34	C	64488	65093	65093	64478	64498	65083	65103	21	21	NA	605	
NC_001491.2	gene	65153	66142	-	ORF35.5	ORF37, ORF36, ORF35, ORF35.5	D	66263	65089	65089	66253	66273	65079	65099	21	21	L	1174	
NC_001491.2	gene	65153	67093	-	ORF35	ORF37, ORF36, ORF35, ORF35.5	C	68273	65089	65089	68263	68283	65079	65099	21	21	L	3184	
NC_001491.2	gene	67212	68975	-	ORF36	ORF37, ORF36, ORF35, ORF35.5	B	69054	67167	65089	69044	69064	67157	67177	21	21	L	1887	T
NC_001491.2	gene	69079	69897	-	ORF37	ORF37, ORF36, ORF35, ORF35.5	A	70113	69068	65089	70103	70123	69058	69078	21	21	L	1045	T
NC_001491.2	gene	69910	70968	+	ORF38	ORF38	NA	69782	71034	71034	69772	69792	71024	71044	21	21	L	1252	
NC_001491.2	gene	71192	73738	+	ORF39	ORF39	NA	71119	73833	73833	71109	71129	73823	73843	21	21	L	2714	
NC_001491.2	NC-gene	73834	74183	-	CTO	CTO	NA	74183	73834	73834	74173	74193	73824	73844	21	21	NA	349	
NC_001491.2	gene	74632	76224	-	ORF40	ORF40	NA	76361	74614	74614	76351	76371	74604	74624	21	21	L	1747	
NC_001491.2	gene	76793	77512	+	ORF41	ORF41, ORF42, OF43	A	76722	83096	83096	76712	76732	83086	83106	21	21	L	6374	
NC_001491.2	gene	77703	81833	+	ORF42	ORF41, ORF42, OF43	B	77591	83096	83096	77581	77601	83086	83106	21	21	L	5505	
NC_001491.2	gene	82083	83027	+	ORF43	ORF41, ORF42, OF43	C	81905	83096	83096	81895	81915	83086	83106	21	21	L	1191	
NC_001491.2	gene	84480	86600	+	ORF45	ORF45, ORF46	A	87824	87824	87824	87814	87834	87814	87834	21	21	L	0	
NC_001491.2	gene	86620	87732	+	ORF46	ORF45, ORF46	B	86362	87824	87824	86352	86372	87814	87834	21	21	L	1462	
NC_001491.2	gene	83148	88917	-	ORF44	ORF44	NA	89226	83090	83090	89216	89236	83080	83100	21	21	L	6136	
NC_001491.2	gene	88947	89900	+	ORF48	ORF48, ORF49, ORF50, ORF51	A	88589	93028	93028	88579	88599	93018	93038	21	21	L	4439	
NC_001491.2	gene	89369	91153	+	ORF49	ORF48, ORF49, ORF50, ORF51	B	89351	93028	93028	89341	89361	93018	93038	21	21	L	3677	
NC_001491.2	gene	91135	92832	+	ORF50	ORF48, ORF49, ORF50, ORF51	C	90722	93028	93028	90712	90732	93018	93038	21	21	L	2306	
NC_001491.2	gene	92784	93008	+	ORF51	ORF48, ORF49, ORF50, ORF51	D	92730	93028	93028	92720	92740	93018	93038	21	21	E	298	
NC_001491.2	gene	94390	97053	+	ORF53	ORF53, ORF54	A	94358	99345	99345	94348	94368	99335	99355	21	21	E	4987	
NC_001491.2	gene	97069	99324	+	ORF54	ORF53, ORF54	B	96454	99345	99345	96444	96464	99335	99355	21	21	E	2891	
NC_001491.2	gene	93120	94472	-	ORF52	ORF52	NA	94747	93031	93031	94737	94757	93021	93041	21	21	L	1716	
NC_001491.2	gene	100130	102391	-	ORF56	ORF56, ORF55	A	102618	94358	94358	102608	102628	94348	94368	21	21	L	8260	
NC_001491.2	gene	99421	100332	-	ORF55	ORF56, ORF55	B	100462	96454	96454	100452	100472	96444	96464	21	21	L	4008	
