transcript_id	seqnames	strand	gene	source	TX_category	NAGATA.transcript_id	NAGATA.prime5.TR	NAGATA.support	NAGATE.distance	CAGE_significance	CAGE_support	CAGE_score	EX_1	EX_2	EX_3	EX_4	1h	2h	4h	6h	8h	12h	18h	24h	48h	sum_dcDNA_read_count	presence	CAGE_TSS_ratio	putatives_to_keep
CTO-CTO-L-2-novTX_503	NC_001491.2	-	CTO	Tombacz_et_al	Non-coding-long	mRNA.TU.29-TSS.2770.1-0--1.08::-	75148	distance <= 25	25	**	3		73834-75173				0	0	0	0	0	0	1	0	3	4	2		
CTO-CTO-L-novTX_758	NC_001491.2	-	CTO	Tombacz_et_al	Non-coding-long	mRNA.TU.28-TSS.2733.1-0--0.28::-	74198	distance <= 25	17	***	9		73834-74215				0	0	0	0	1	0	0	0	0	1	1		
CTO-L	NC_001491.2	-	CTO	Torma_et_al	Non-coding-Long	mRNA.TU.28-TSS.2733.1-0--0.28::-	74198	distance <= 100	59	**	3	414.72852833	73834-74257				0	1	2	1	11	26	6	11	9	67	8		
CTO-Non-coding-short-novTX_464	NC_001491.2	-	CTO	Tombacz_et_al	Non-coding-short	mRNA.TU.28-TSS.2712.1-0--1.03::-	74017	distance <= 25	0	***	9		73834-74017				0	0	0	2	2	4	6	1	7	22	6		
CTO-Non-coding-short-novTX_465	NC_001491.2	-	CTO	Tombacz_et_al	Non-coding-short	mRNA.TU.28-TSS.2718.1-0--2.53::-	74049	distance <= 25	0	***	9		73834-74049				0	0	0	0	0	3	4	2	8	17	4		
CTO-Non-coding-short-novTX_467	NC_001491.2	-	CTO	Tombacz_et_al	Non-coding-short	mRNA.TU.28-TSS.2730.1-0--4.17::-	74143	distance <= 25	2	***	9		73834-74145				0	0	0	2	1	2	2	0	3	10	5		
CTO-Non-coding-short-novTX_701	NC_001491.2	-	CTO	Tombacz_et_al	Non-coding-short	mRNA.TU.28-TSS.2727.1-0--4.08::-	74111	distance <= 25	2	***	9		73834-74113				0	0	0	1	1	3	5	0	3	13	5		
CTO-Non-coding-short-novTX_779	NC_001491.2	-	CTO	Tombacz_et_al	Non-coding-short	mRNA.TU.28-TSS.2732.1-0--29.17::-	74177	distance <= 25	6	***	9		73834-74171				0	0	0	0	0	0	0	0	2	2	1		
CTO-S	NC_001491.2	-	CTO	Torma_et_al	Non-coding	mRNA.TU.28-TSS.2732.1-0--29.17::-	74177	distance <= 25	6	***	9	196155.685728494	73834-74183				0	19	34	377	1447	4776	1752	1556	2303	12264	8		
CTO-S-AS	NC_001491.2	+	CTO	Torma_et_al	Antisense			NA					73856-74182				0	0	0	0	3	3	1	2	0	9	4		
NOIR-2-canonic	NC_001491.2	-	NOIR	Torma_et_al	Non-coding	mRNA.TU.49-TSS.4289.1-0--17.65::-	144269	distance <= 25	13	***	9	24468.663319812	143303-144282				0	17	9	66	94	198	56	50	94	584	8		
