seqnames	strand	transcript_id	source	TX_category	NAGATA.transcript_id	NAGATA.prime5.TR	NAGATA.support	NAGATE.distance	CAGE_significance	CAGE_support	CAGE_score	EX_1	EX_2	EX_3	EX_4	gene	1h	2h	4h	6h	8h	12h	18h	24h	48h	sum_dcDNA_read_count	presence
NC_001491.2	+	CTO-S-AS	Torma_et_al				NA					73856-74182				CTO	0	0	0	0	0	1	0	1	0	2	2
NC_001491.2	+	NOIR-Canonic	Torma_et_al				NA		***	9	24468.663319812	118878-119857				NOIR	0	6	5	38	62	127	42	35	55	370	8
NC_001491.2	+	NOIR-ORF65-PC-Canonic	Torma_et_al				NA		**	3	827.784834717	118811-122451															
NC_001491.2	+	NOIR_1-Non-coding-Long-novTX_195	Tombacz_et_al	Non-coding-Long			NA		***	9		118856-119857				NOIR_1	0	0	0	0	0	0	1	0	2	3	2
NC_001491.2	+	ORF1	Torma_et_al		mRNA.TU.1-TSS.1.1-0--80.33	1264	distance <= 25	12	***	9	46113.869491894	1252-1923				ORF1	0	55	42	74	237	399	133	100	196	1236	8
NC_001491.2	+	ORF1-ORF2-ORF3-CX-Canonic	Torma_et_al		mRNA.TU.1-TSS.1.1-0--80.33	1264	distance <= 25	12	***	9	46113.869491894	1252-3632				ORF1	0	0	0	0	6	13	0	6	9	34	4
NC_001491.2	+	ORF1-ORF2-ORF3-CX-Long	Torma_et_al				NA		**	3	1583.62946212	989-3632				ORF1	0	0	0	0	0	1	1	2	6	10	4
NC_001491.2	+	ORF1-Putative mRNA-novTX_272	Tombacz_et_al	Putative mRNA			NA		**	3		1629-1923				ORF1	0	0	0	1	0	0	0	0	0	1	1
NC_001491.2	+	ORF1-Putative mRNA-novTX_320	Tombacz_et_al	Putative mRNA			NA		**	3		1613-1923				ORF1	0	0	1	3	1	0	1	0	2	8	5
NC_001491.2	+	ORF10-ORF11-ORF12-PC-Canonic	Torma_et_al		mRNA.TU.4-TSS.7.1-0--13.48	12002	distance <= 25	12	***	9	122249.795999919	11990-14971				ORF10	0	0	0	0	5	5	4	22	49	85	5
NC_001491.2	+	ORF10-ORF11-PC-Canonic	Torma_et_al		mRNA.TU.4-TSS.7.1-0--13.48	12002	distance <= 25	12	***	9	122249.795999919	11990-13520				ORF10	0	37	19	13	80	190	91	189	364	983	8
