seqnames	strand	gene	score	support	start	end	width	thick.start	thick.end	thick.width	thick.names	clusterType	orientation	prime5	prime3	TSS.win.start	TSS.win.end	CAGE_significance
NC_001491.2	+	CAGE_cluster_1	105.163529288	1	697	697	1	697	697	1	NC_001491.2:697-697;+	TSS	1	697	697	697	697	*
NC_001491.2	+	CAGE_cluster_10	302.909228319	2	1751	1751	1	1751	1751	1	NC_001491.2:1751-1751;+	TSS	1	1751	1751	1751	1751	*
NC_001491.2	+	CAGE_cluster_100	155.424308362	1	15156	15156	1	15156	15156	1	NC_001491.2:15156-15156;+	TSS	1	15156	15156	15156	15156	*
NC_001491.2	+	CAGE_cluster_1000	309.564999042	2	137290	137292	3	137292	137292	1	NC_001491.2:137290-137292;+	TSS	1	137290	137292	137290	137292	*
NC_001491.2	+	CAGE_cluster_1001	260.58783765	2	137330	137347	18	137347	137347	1	NC_001491.2:137330-137347;+	TSS	1	137330	137347	137330	137347	*
NC_001491.2	+	CAGE_cluster_1002	328.80212931	2	137405	137417	13	137416	137416	1	NC_001491.2:137405-137417;+	TSS	1	137405	137417	137405	137417	*
NC_001491.2	+	CAGE_cluster_1003	155.424308362	1	137492	137492	1	137492	137492	1	NC_001491.2:137492-137492;+	TSS	1	137492	137492	137492	137492	*
NC_001491.2	+	CAGE_cluster_1004	267.243608373	2	137517	137521	5	137517	137517	1	NC_001491.2:137517-137521;+	TSS	1	137517	137521	137517	137521	*
NC_001491.2	+	CAGE_cluster_1005	111.819300011	1	137586	137586	1	137586	137586	1	NC_001491.2:137586-137586;+	TSS	1	137586	137586	137586	137586	*
NC_001491.2	+	CAGE_cluster_1006	111.819300011	1	137771	137771	1	137771	137771	1	NC_001491.2:137771-137771;+	TSS	1	137771	137771	137771	137771	*
NC_001491.2	+	CAGE_cluster_1007	598827.546323734	9	137801	137970	170	137825	137825	1	NC_001491.2:137801-137970;+	TSS	1	137801	137970	137801	137970	***
NC_001491.2	+	CAGE_cluster_1008	197.745699031	1	138035	138035	1	138035	138035	1	NC_001491.2:138035-138035;+	TSS	1	138035	138035	138035	138035	*
NC_001491.2	+	CAGE_cluster_1009	1177.808266601	5	138095	138119	25	138095	138095	1	NC_001491.2:138095-138119;+	TSS	1	138095	138119	138095	138119	**
NC_001491.2	+	CAGE_cluster_101	49270.838652001	9	15187	15263	77	15236	15236	1	NC_001491.2:15187-15263;+	TSS	1	15187	15263	15187	15263	***
NC_001491.2	+	CAGE_cluster_1010	7209.714970452	7	138160	138216	57	138213	138213	1	NC_001491.2:138160-138216;+	TSS	1	138160	138216	138160	138216	***
NC_001491.2	+	CAGE_cluster_1011	11968.281660042	7	138237	138308	72	138288	138288	1	NC_001491.2:138237-138308;+	TSS	1	138237	138308	138237	138308	***
NC_001491.2	+	CAGE_cluster_1012	197.745699031	1	138346	138346	1	138346	138346	1	NC_001491.2:138346-138346;+	TSS	1	138346	138346	138346	138346	*
NC_001491.2	+	CAGE_cluster_1013	1734.781424529	4	138374	138430	57	138428	138428	1	NC_001491.2:138374-138430;+	TSS	1	138374	138430	138374	138430	**
NC_001491.2	+	CAGE_cluster_1014	302.909228319	2	138455	138457	3	138455	138455	1	NC_001491.2:138455-138457;+	TSS	1	138455	138457	138455	138457	*
NC_001491.2	+	CAGE_cluster_1015	8753.131636745	7	138479	138485	7	138482	138482	1	NC_001491.2:138479-138485;+	TSS	1	138479	138485	138479	138485	***
NC_001491.2	+	CAGE_cluster_1016	2360.237976993	5	138520	138574	55	138574	138574	1	NC_001491.2:138520-138574;+	TSS	1	138520	138574	138520	138574	**
NC_001491.2	+	CAGE_cluster_1017	2055.550648605	7	138685	138687	3	138687	138687	1	NC_001491.2:138685-138687;+	TSS	1	138685	138687	138685	138687	***
NC_001491.2	+	CAGE_cluster_1018	111.819300011	1	139546	139546	1	139546	139546	1	NC_001491.2:139546-139546;+	TSS	1	139546	139546	139546	139546	*
