seqnames	strand	correct_tss	prime5	sample	hpi	Time	cell_line	group	count	endtype	pos	start	end
NC_001491.2	+	TRUE	10080	EHV1_cage_A			RK-13	EHV1_cage_A	26	prime5	10080	10080	10080
NC_001491.2	-	TRUE	32683	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	32683	32683	32683
NC_001491.2	+	TRUE	94799	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	94799	94799	94799
NC_001491.2	-	TRUE	107528	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	107528	107528	107528
NC_001491.2	+	TRUE	15084	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	15084	15084	15084
NC_001491.2	+	TRUE	71118	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	71118	71118	71118
NC_001491.2	-	TRUE	19689	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	19689	19689	19689
NC_001491.2	-	TRUE	89011	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	89011	89011	89011
NC_001491.2	-	TRUE	2540	EHV1_cage_A			RK-13	EHV1_cage_A	89	prime5	2540	2540	2540
NC_001491.2	+	TRUE	61312	EHV1_cage_A			RK-13	EHV1_cage_A	175	prime5	61312	61312	61312
NC_001491.2	+	TRUE	16554	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	16554	16554	16554
NC_001491.2	-	TRUE	4342	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	4342	4342	4342
NC_001491.2	-	TRUE	7264	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	7264	7264	7264
NC_001491.2	+	TRUE	89355	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime5	89355	89355	89355
NC_001491.2	+	TRUE	90712	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	90712	90712	90712
NC_001491.2	+	TRUE	119537	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	119537	119537	119537
NC_001491.2	-	TRUE	125335	EHV1_cage_A			RK-13	EHV1_cage_A	743	prime5	125335	125335	125335
NC_001491.2	+	TRUE	33907	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	33907	33907	33907
NC_001491.2	+	TRUE	11990	EHV1_cage_A			RK-13	EHV1_cage_A	139	prime5	11990	11990	11990
NC_001491.2	+	TRUE	77591	EHV1_cage_A			RK-13	EHV1_cage_A	162	prime5	77591	77591	77591
NC_001491.2	+	TRUE	69780	EHV1_cage_A			RK-13	EHV1_cage_A	37	prime5	69780	69780	69780
NC_001491.2	-	TRUE	24276	EHV1_cage_A			RK-13	EHV1_cage_A	17	prime5	24276	24276	24276
NC_001491.2	+	TRUE	17969	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	17969	17969	17969
NC_001491.2	-	TRUE	106674	EHV1_cage_A			RK-13	EHV1_cage_A	214	prime5	106674	106674	106674
NC_001491.2	-	TRUE	66263	EHV1_cage_A			RK-13	EHV1_cage_A	110	prime5	66263	66263	66263
NC_001491.2	+	TRUE	127634	EHV1_cage_A			RK-13	EHV1_cage_A	151	prime5	127634	127634	127634
NC_001491.2	+	TRUE	64488	EHV1_cage_A			RK-13	EHV1_cage_A	728	prime5	64488	64488	64488
NC_001491.2	+	TRUE	50573	EHV1_cage_A			RK-13	EHV1_cage_A	100	prime5	50573	50573	50573
NC_001491.2	-	TRUE	12264	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	12264	12264	12264
NC_001491.2	-	TRUE	119214	EHV1_cage_A			RK-13	EHV1_cage_A	16	prime5	119214	119214	119214
NC_001491.2	-	TRUE	106138	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	106138	106138	106138
NC_001491.2	+	TRUE	71119	EHV1_cage_A			RK-13	EHV1_cage_A	32	prime5	71119	71119	71119
NC_001491.2	+	TRUE	129051	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime5	129051	129051	129051
NC_001491.2	+	TRUE	59209	EHV1_cage_A			RK-13	EHV1_cage_A	18	prime5	59209	59209	59209
NC_001491.2	+	TRUE	17982	EHV1_cage_A			RK-13	EHV1_cage_A	27	prime5	17982	17982	17982
NC_001491.2	-	TRUE	5088	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	5088	5088	5088
NC_001491.2	-	TRUE	12260	EHV1_cage_A			RK-13	EHV1_cage_A	93	prime5	12260	12260	12260
NC_001491.2	+	TRUE	66315	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	66315	66315	66315
