gene	seqnames	start	end	strand	type	product	ID	Name	copy_number	part	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
CTO											unknown	cluster_8	0.967630137197631	0.830493637514694	0.112718122122551	0.10722971874741
NOIR											unknown	cluster_11	0.990155473415301	0.95445998266205	0.000126991580207127	0.157685585584154
NOIR											unknown	cluster_1	0.99996633750001	0.999811827167431	0.0392757744695376	0.164529787917854
ORF1	NC_001491.2	1298	1906	+	CDS	membrane protein UL56	cds-YP_053045.1	ORF1	1	1	unknown	cluster_1	0.99996633750001	0.999811827167431	0.0333194479390406	0.324526097034157
ORF10	NC_001491.2	12084	12386	+	CDS	envelope glycoprotein N	cds-YP_053055.1	ORF10	1	1	L	cluster_4	0.999979969697612	0.999886480865383	0.0172692685064401	0.285546907573346
ORF11	NC_001491.2	12549	13463	+	CDS	tegument protein VP22	cds-YP_053056.1	ORF11	1	1	L	cluster_2	0.999966740681428	0.999796975455071	0.007653408377413	0.611288713557085
ORF12	NC_001491.2	13595	14944	+	CDS	transactivating tegument protein VP16	cds-YP_053057.2	ORF12	1	1	L	cluster_7	0.910322497818533	0.581582599447046	0.0130824215078461	0.765444365113392
ORF13	NC_001491.2	15317	17932	+	CDS	tegument protein VP13/14	cds-YP_053058.1	ORF13	1	1	L	cluster_7	0.910322497818533	0.581582599447046	0.00873977255491932	0.772486363192525
ORF14	NC_001491.2	18083	20326	+	CDS	tegument protein VP11/12	cds-YP_053059.1	ORF14	1	1	L	cluster_2	0.999966740681428	0.999796975455071	0.00188064017984966	0.419251891417957
ORF15	NC_001491.2	20487	21170	-	CDS	membrane protein UL45	cds-YP_053060.2	ORF15	1	1	unknown	cluster_7	0.910322497818533	0.581582599447046	0.0610568668372799	0.549780205540579
ORF16	NC_001491.2	21445	22851	-	CDS	envelope glycoprotein C	cds-YP_053061.1	ORF16	1	1	L	cluster_7	0.910322497818533	0.581582599447046	0.00597310315526878	0.846609893774191
ORF17	NC_001491.2	23029	24234	-	CDS	envelope protein UL43	cds-YP_053062.1	ORF17	1	1	L	cluster_4	0.999979969697612	0.999886480865383	0.0223660195330768	0.396379174353406
ORF18	NC_001491.2	24479	25696	-	CDS	DNA polymerase processivity subunit	cds-YP_053063.1	ORF18	1	1	L	cluster_5	0.905556550967995	0.657821494723899	0.0180955784808418	0.256144903789438
ORF19	NC_001491.2	26262	27755	+	CDS	tegument host shutoff protein	cds-YP_053064.1	ORF19	1	1	L	cluster_2	0.999966740681428	0.999796975455071	0.00400966691588419	0.273687517860875
ORF2	NC_001491.2	1945	2562	-	CDS	membrane protein V1	cds-YP_053047.1	ORF2	1	1	unknown	cluster_2	0.999966740681428	0.999796975455071	0.00187976829413834	0.535950589802291
ORF20	NC_001491.2	27894	28859	-	CDS	ribonucleotide reductase subunit 2	cds-YP_053065.1	ORF20	1	1	E	cluster_1	0.99996633750001	0.999811827167431	0.0238942257235785	0.421147739451927
ORF21	NC_001491.2	28904	31276	-	CDS	ribonucleotide reductase subunit 1	cds-YP_053066.1	ORF21	1	1	E	cluster_1	0.99996633750001	0.999811827167431	0.0390538019184288	0.332044222858856
