gene	seqnames	start	end	strand	type	product	ID	Name	copy_number	part	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
CTO											unknown	cluster_2	0.99067941553761	0.973579782622251	13.621746140635	0.428466994584464
NOIR											unknown	cluster_5	0.986683400460726	0.96484108483718	2.67357291565707	0.118453343097355
NOIR											unknown	cluster_1	0.998314234879005	0.994189593071259	9.79922048129478	0.414638391758937
ORF1	NC_001491.2	1298	1906	+	CDS	membrane protein UL56	cds-YP_053045.1	ORF1	1	1	unknown	cluster_1	0.998314234879005	0.994189593071259	5.36034599041862	0.493102086428594
ORF10	NC_001491.2	12084	12386	+	CDS	envelope glycoprotein N	cds-YP_053055.1	ORF10	1	1	L	cluster_1	0.998314234879005	0.994189593071259	10.4661772191729	0.474535118217515
ORF11	NC_001491.2	12549	13463	+	CDS	tegument protein VP22	cds-YP_053056.1	ORF11	1	1	L	cluster_2	0.99067941553761	0.973579782622251	3.02468393345625	0.761568705814597
ORF12	NC_001491.2	13595	14944	+	CDS	transactivating tegument protein VP16	cds-YP_053057.2	ORF12	1	1	L	cluster_4	0.996982751290518	0.953874301724708	6.82295690521194	0.385586246358014
ORF13	NC_001491.2	15317	17932	+	CDS	tegument protein VP13/14	cds-YP_053058.1	ORF13	1	1	L	cluster_4	0.996982751290518	0.953874301724708	4.33681269774583	0.684319845110685
ORF14	NC_001491.2	18083	20326	+	CDS	tegument protein VP11/12	cds-YP_053059.1	ORF14	1	1	L	cluster_2	0.99067941553761	0.973579782622251	8.69815085351095	0.607746865254297
ORF15	NC_001491.2	20487	21170	-	CDS	membrane protein UL45	cds-YP_053060.2	ORF15	1	1	unknown	cluster_4	0.996982751290518	0.953874301724708	14.1291580161456	0.628526550209539
ORF16	NC_001491.2	21445	22851	-	CDS	envelope glycoprotein C	cds-YP_053061.1	ORF16	1	1	L	cluster_4	0.996982751290518	0.953874301724708	8.45622240328395	0.654982706370418
ORF17	NC_001491.2	23029	24234	-	CDS	envelope protein UL43	cds-YP_053062.1	ORF17	1	1	L	cluster_6	0.904304930908497	0.731441401118119	7.0098202915417	0.573506958852462
ORF18	NC_001491.2	24479	25696	-	CDS	DNA polymerase processivity subunit	cds-YP_053063.1	ORF18	1	1	L	cluster_1	0.998314234879005	0.994189593071259	5.75918970366373	0.520002125277768
ORF19	NC_001491.2	26262	27755	+	CDS	tegument host shutoff protein	cds-YP_053064.1	ORF19	1	1	L	cluster_7	0.972898525142639	0.864409971572581	2.51984695932967	0.283622788790459
ORF2	NC_001491.2	1945	2562	-	CDS	membrane protein V1	cds-YP_053047.1	ORF2	1	1	unknown	cluster_2	0.99067941553761	0.973579782622251	9.39804078589938	0.647287235227918
ORF20	NC_001491.2	27894	28859	-	CDS	ribonucleotide reductase subunit 2	cds-YP_053065.1	ORF20	1	1	E	cluster_1	0.998314234879005	0.994189593071259	5.57810930342996	0.445987131464493
ORF21	NC_001491.2	28904	31276	-	CDS	ribonucleotide reductase subunit 1	cds-YP_053066.1	ORF21	1	1	E	cluster_1	0.998314234879005	0.994189593071259	10.8348750352096	0.0740457489407307
ORF22	NC_001491.2	31519	32916	-	CDS	capsid triplex subunit 1	cds-YP_053067.1	ORF22	1	1	L	cluster_2	0.99067941553761	0.973579782622251	7.02484371485899	0.384254090771859
ORF23	NC_001491.2	33292	36354	+	CDS	tegument protein UL37	cds-YP_053068.1	ORF23	1	1	L	cluster_4	0.996982751290518	0.953874301724708	10.8871276170459	0.344152989764717
ORF24	NC_001491.2	36588	46853	+	CDS	large tegument protein	cds-YP_053069.1	ORF24	1	1	L	cluster_8	0.980240356534581	0.837842018521855	1.53765828704421	0.494454573588991
ORF25	NC_001491.2	46952	47311	-	CDS	small capsid protein	cds-YP_053070.1	ORF25	1	1	L	cluster_2	0.99067941553761	0.973579782622251	22.3127112414258	0.621013393104439
ORF26	NC_001491.2	47403	48230	-	CDS	nuclear egress membrane protein	cds-YP_053071.1	ORF26	1	1	L	cluster_2	0.99067941553761	0.973579782622251	13.7695763529771	0.374646686745769
ORF27	NC_001491.2	48369	48791	-	CDS	DNA packaging protein UL33	cds-YP_053072.2	ORF27	1	1	L	cluster_8	0.980240356534581	0.837842018521855	1.96265880833517	0.219012116124116
ORF28	NC_001491.2	48763	50625	+	CDS	DNA packaging protein UL32	cds-YP_053073.1	ORF28	1	1	L	cluster_5	0.986683400460726	0.96484108483718	2.37477880325485	0.335389144711695
ORF29	NC_001491.2	50618	51598	+	CDS	nuclear egress lamina protein	cds-YP_053074.1	ORF29	1	1	L	cluster_2	0.99067941553761	0.973579782622251	8.38846205679824	0.624908451200597
ORF3	NC_001491.2	2841	3614	+	CDS	myristylated tegument protein CIRC	cds-YP_053048.1	ORF3	1	1	L	cluster_2	0.99067941553761	0.973579782622251	7.34912695589981	0.600279130421024
ORF30	NC_001491.2	51522	55184	-	CDS	DNA polymerase catalytic subunit	cds-YP_053075.1	ORF30	1	1	E	cluster_6	0.904304930908497	0.731441401118119	5.48190081972886	0.50279653597248
ORF31	NC_001491.2	55453	59082	+	CDS	single-stranded DNA-binding protein	cds-YP_053076.1	ORF31	1	1	E	cluster_1	0.998314234879005	0.994189593071259	9.56388879985248	0.346848939687673
ORF32	NC_001491.2	59243	61570	+	CDS	DNA packaging terminase subunit 2	cds-YP_053077.1	ORF32	1	1	E	cluster_5	0.986683400460726	0.96484108483718	2.44034286420782	0.356756364282628
ORF33	NC_001491.2	61432	64374	+	CDS	envelope glycoprotein B	cds-YP_053078.1	ORF33	1	1	L	cluster_2	0.99067941553761	0.973579782622251	7.67335446616556	0.195836345529389
ORF34	NC_001491.2	64578	65060	+	CDS	protein V32	cds-YP_053079.1	ORF34	1	1	unknown	cluster_1	0.998314234879005	0.994189593071259	18.0513115827494	0.616633027123037
ORF35	NC_001491.2	65153	67093	-	CDS	capsid maturation protease	cds-YP_053080.1	ORF35	1	1	L	cluster_8	0.980240356534581	0.837842018521855	2.50352521925116	0.0971244889547498
ORF35.5	NC_001491.2	65153	66142	-	CDS	capsid scaffold protein	cds-YP_053081.1	ORF35.5	1	1	L	cluster_2	0.99067941553761	0.973579782622251	11.08660667932	0.750525759775987
ORF36	NC_001491.2	67212	68975	-	CDS	DNA packaging tegument protein UL25	cds-YP_053082.1	ORF36	1	1	L	cluster_2	0.99067941553761	0.973579782622251	8.11718397825712	0.687886442776829
ORF37	NC_001491.2	69079	69897	-	CDS	nuclear protein UL24	cds-YP_053083.1	ORF37	1	1	L	cluster_9	0.772924993922264	0.430332767529237	3.22951834967389	0.0814551176946166
ORF38	NC_001491.2	69910	70968	+	CDS	thymidine kinase	cds-YP_053084.1	ORF38	1	1	L	cluster_3	0.785563071068626	0.473509962839176	7.10992169093854	0.195652941897327
ORF39	NC_001491.2	71192	73738	+	CDS	envelope glycoprotein H	cds-YP_053085.1	ORF39	1	1	L	cluster_4	0.996982751290518	0.953874301724708	15.2118241224514	0.0910118302147488
ORF4	NC_001491.2	3647	4249	-	CDS	nuclear protein UL55	cds-YP_053049.1	ORF4	1	1	unknown	cluster_3	0.785563071068626	0.473509962839176	9.06202555922944	0.625156958635245
ORF40	NC_001491.2	74632	76224	-	CDS	tegument protein UL21	cds-YP_053086.1	ORF40	1	1	L	cluster_2	0.99067941553761	0.973579782622251	9.29371881144631	0.462835198526438
ORF41	NC_001491.2	76793	77512	+	CDS	envelope protein UL20	cds-YP_053087.1	ORF41	1	1	L	cluster_10	0.810037824367787	0.443605948356023	1.62470506771594	0.778180974157699
ORF42	NC_001491.2	77703	81833	+	CDS	major capsid protein	cds-YP_053088.1	ORF42	1	1	L	cluster_2	0.99067941553761	0.973579782622251	10.9755899181052	0.60220449534916
ORF43	NC_001491.2	82083	83027	+	CDS	capsid triplex subunit 2	cds-YP_053089.1	ORF43	1	1	L	cluster_2	0.99067941553761	0.973579782622251	6.38509107135162	0.698684380786033
ORF44	NC_001491.2	87886	88917	-	CDS	DNA packaging terminase subunit 1	cds-YP_053090.1	ORF44	1	1	L	cluster_8	0.980240356534581	0.837842018521855	2.46398165833434	0.371483478075326
ORF44	NC_001491.2	83148	84320	-	CDS	DNA packaging terminase subunit 1	ORF44_2	ORF44	1	2	L	cluster_8	0.980240356534581	0.837842018521855	2.46398165833434	0.371483478075326
ORF45	NC_001491.2	84480	86600	+	CDS	DNA packaging tegument protein UL17	cds-YP_053091.1	ORF45	1	1	L	cluster_5	0.986683400460726	0.96484108483718	2.78927566787032	0.411579788727707
ORF46	NC_001491.2	86620	87732	+	CDS	tegument protein UL16	cds-YP_053092.1	ORF46	1	1	L	cluster_4	0.996982751290518	0.953874301724708	5.90137168632128	-0.0602943066349737
ORF48	NC_001491.2	88947	89900	+	CDS	tegument protein UL14	cds-YP_053093.1	ORF48	1	1	L	cluster_10	0.810037824367787	0.443605948356023	1.62470506771594	0.716998361564377
ORF49	NC_001491.2	89369	91153	+	CDS	tegument serine/threonine protein kinase	cds-YP_053094.1	ORF49	1	1	L	cluster_8	0.980240356534581	0.837842018521855	3.10628147323139	0.329449009970629
ORF5	NC_001491.2	4462	5874	-	CDS	multifunctional expression regulator	cds-YP_053050.1	ORF5	1	1	E	cluster_3	0.785563071068626	0.473509962839176	9.01021439551516	0.552782946798423
ORF50	NC_001491.2	91135	92832	+	CDS	deoxyribonuclease	cds-YP_053046.1	ORF50	1	1	L	cluster_3	0.785563071068626	0.473509962839176	11.4686917762756	0.3874964442486
ORF51	NC_001491.2	92784	93008	+	CDS	myristylated tegument protein	cds-YP_053095.1	ORF51	1	1	E	cluster_9	0.772924993922264	0.430332767529237	3.22951834967389	0.270174220140072
ORF52	NC_001491.2	93120	94472	-	CDS	envelope glycoprotein M	cds-YP_053096.1	ORF52	1	1	L	cluster_4	0.996982751290518	0.953874301724708	5.21803046878382	0.660795820915723
ORF53	NC_001491.2	94390	97053	+	CDS	DNA replication origin-binding helicase	cds-YP_053097.1	ORF53	1	1	E	cluster_6	0.904304930908497	0.731441401118119	3.04005712684385	0.541380490435164
ORF54	NC_001491.2	97069	99324	+	CDS	helicase-primase subunit	cds-YP_053098.2	ORF54	1	1	E	cluster_4	0.996982751290518	0.953874301724708	10.1157091184253	0.646127911394901
ORF55	NC_001491.2	99421	100332	-	CDS	tegument protein UL7	cds-YP_053099.1	ORF55	1	1	L	cluster_11	0.843706680817994	0.611891725138844	0	0
ORF56	NC_001491.2	100130	102391	-	CDS	capsid portal protein	cds-YP_053100.1	ORF56	1	1	L	cluster_5	0.986683400460726	0.96484108483718	2.3308784182881	0.336714414355005
ORF57	NC_001491.2	102375	105020	+	CDS	helicase-primase helicase subunit	cds-YP_053101.1	ORF57	1	1	L	cluster_8	0.980240356534581	0.837842018521855	2.24155358533804	0.499911956618301
ORF58	NC_001491.2	105070	105747	+	CDS	nuclear protein UL4	cds-YP_053102.1	ORF58	1	1	L	cluster_4	0.996982751290518	0.953874301724708	4.8348232011387	0.240137467921618
ORF59	NC_001491.2	105877	106416	-	CDS	protein V57	cds-YP_053103.1	ORF59	1	1	L	cluster_8	0.980240356534581	0.837842018521855	2.80808636412365	0.23888943199049
ORF6	NC_001491.2	6011	7042	-	CDS	envelope glycoprotein K	cds-YP_053051.1	ORF6	1	1	L	cluster_4	0.996982751290518	0.953874301724708	6.51305203823132	0.385794352722075
ORF60	NC_001491.2	106478	107116	-	CDS	nuclear protein UL3	cds-YP_053104.1	ORF60	1	1	L	cluster_4	0.996982751290518	0.953874301724708	7.24856620758416	0.650766613193462
ORF61	NC_001491.2	107206	108144	-	CDS	uracil-DNA glycosylase	cds-YP_053105.1	ORF61	1	1	E	cluster_1	0.998314234879005	0.994189593071259	5.97995542877386	-0.0969613841761064
ORF62	NC_001491.2	108147	108704	-	CDS	envelope glycoprotein L	cds-YP_053106.2	ORF62	1	1	L	cluster_4	0.996982751290518	0.953874301724708	7.76197229720321	-0.132834400580509
ORF63	NC_001491.2	110387	111985	-	CDS	ubiquitin E3 ligase ICP0	cds-YP_053107.1	ORF63	1	1	E	cluster_3	0.785563071068626	0.473509962839176	7.76771099001348	0.459606300639457
ORF64	NC_001491.2	114128	118591	-	CDS	transcriptional regulator ICP4	cds-YP_053108.1	ORF64	1	1	IE	cluster_12	0.821948152612521	0.588084919886583	0	0
ORF64_2	NC_001491.2	144569	149032	+	CDS	transcriptional regulator ICP4	cds-YP_053124.1	ORF64	2	1						
ORF65	NC_001491.2	121368	122249	+	CDS	regulatory protein ICP22	cds-YP_053109.1	ORF65	1	1	E	cluster_3	0.785563071068626	0.473509962839176	14.4408154950108	0.423718107126801
ORF65_2	NC_001491.2	140911	141792	-	CDS	regulatory protein ICP22	cds-YP_053123.1	ORF65	2	1						
ORF66	NC_001491.2	122862	123572	+	CDS	virion protein US10	cds-YP_053110.1	ORF66	1	1	unknown	cluster_7	0.972898525142639	0.864409971572581	2.51984695932967	0.584284869811849
ORF66_2	NC_001491.2	139588	140298	-	CDS	virion protein US10	cds-YP_053122.1	ORF66	2	1						
ORF67	NC_001491.2	124376	125194	-	CDS	virion protein V67	cds-YP_053111.1	ORF67	1	1	L	cluster_1	0.998314234879005	0.994189593071259	14.2514923482738	0.440811339331991
ORF67_2	NC_001491.2	137966	138784	+	CDS	virion protein V67	cds-YP_053121.1	ORF67	2	1						
ORF68	NC_001491.2	125019	126275	-	CDS	virion protein US2	cds-YP_053112.1	ORF68	1	1	L	cluster_4	0.996982751290518	0.953874301724708	15.2590425428965	0.255380383249069
ORF69	NC_001491.2	126411	127559	+	CDS	serine/threonine protein kinase US3	cds-YP_053113.1	ORF69	1	1	E	cluster_3	0.785563071068626	0.473509962839176	7.153831460259	0.529211145084282
ORF7	NC_001491.2	7056	10301	-	CDS	helicase-primase primase subunit	cds-YP_053052.1	ORF7	1	1	E	cluster_5	0.986683400460726	0.96484108483718	2.72564429320684	0.463783417817168
ORF70	NC_001491.2	127681	128916	+	CDS	envelope glycoprotein G	cds-YP_053114.1	ORF70	1	1	L	cluster_1	0.998314234879005	0.994189593071259	11.6067366370816	0.177723777635922
ORF71	NC_001491.2	129097	131490	+	CDS	envelope glycoprotein J	cds-YP_053115.1	ORF71	1	1	unknown	cluster_4	0.996982751290518	0.953874301724708	5.10283237075759	0.580679284701288
ORF72	NC_001491.2	131583	132791	+	CDS	envelope glycoprotein D	cds-YP_053116.2	ORF72	1	1	L	cluster_4	0.996982751290518	0.953874301724708	5.51208831833225	0.583446128185879
ORF73	NC_001491.2	132899	134173	+	CDS	envelope glycoprotein I	cds-YP_053117.1	ORF73	1	1	L	cluster_2	0.99067941553761	0.973579782622251	10.5261178469757	0.555759556914963
ORF74	NC_001491.2	134406	136058	+	CDS	envelope glycoprotein E	cds-YP_053118.1	ORF74	1	1	L	cluster_1	0.998314234879005	0.994189593071259	16.9622076940987	-0.354124686902459
ORF75	NC_001491.2	136055	136447	+	CDS	membrane protein US8A	cds-YP_053119.1	ORF75	1	1	unknown	cluster_1	0.998314234879005	0.994189593071259	11.4301240319295	0.232181670225358
ORF76	NC_001491.2	136783	137442	+	CDS	membrane protein US9	cds-YP_053120.1	ORF76	1	1	L	cluster_5	0.986683400460726	0.96484108483718	3.33585423699173	0.282857579699583
ORF8	NC_001491.2	10300	11037	+	CDS	tegument protein UL51	cds-YP_053053.1	ORF8	1	1	L	cluster_2	0.99067941553761	0.973579782622251	6.04394860133526	0.703004929361439
ORF9	NC_001491.2	11135	12115	-	CDS	deoxyuridine triphosphatase	cds-YP_053054.1	ORF9	1	1	L	cluster_3	0.785563071068626	0.473509962839176	5.70026479950214	0.36825728153815
