contig	source	feature	start	end	score	strand	frame	info	method	12h-1	12h-2	12h-3	18h-1	18h-2	18h-3	1h_1	1h_2	1h_3	24h-1	24h-2	24h-3	2h_1	2h_2	2h_3	48h-1	48h-2	48h-3	4h-1	4h-2	4h-3	6h-1	6h-2	6h-3	8h-1	8h-2	8h-3
NC_001491.2	LoRTIA	intron	4043	9509	4	+	.	GT/AG	12h-1	4	0	0	0	3	0	0	0	0	2	0	2	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	121073	121267	2	.	.		12h-1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_001491.2	LoRTIA	intron	121073	121340	2	+	.	GT/AG	12h-1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0
NC_001491.2	LoRTIA	intron	121073	121269	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_001491.2	LoRTIA	intron	121085	121286	10	+	.	GT/AG	12h-1	10	6	6	0	2	0	0	0	0	0	0	0	6	4	3	2	2	7	7	8	10	2	3	11	4	7	15
NC_001491.2	LoRTIA	intron	121085	121281	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	121085	121269	3	.	.		12h-1	3	5	5	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	4	0	2	5	4	0	6	2	5
NC_001491.2	LoRTIA	intron	121069	121280	25	-	.	AT/AC	12h-1	25	15	14	0	2	2	0	0	0	0	4	4	11	8	11	0	0	12	14	11	14	15	9	7	9	16	22
NC_001491.2	LoRTIA	intron	121085	121268	7	.	.		12h-1	7	2	4	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	4	2	2	2	2	0	5	2
NC_001491.2	LoRTIA	intron	121089	121286	2	+	.	GT/AG	12h-1	2	2	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	2	4
NC_001491.2	LoRTIA	intron	121106	121286	463	+	.	GT/AG	12h-1	463	384	405	56	39	33	2	0	0	50	33	23	255	221	150	44	54	246	274	249	345	320	294	272	315	360	646
NC_001491.2	LoRTIA	intron	121106	121268	6	.	.		12h-1	6	10	0	0	0	0	0	0	0	0	2	2	0	3	0	0	0	4	4	0	3	0	0	5	3	3	5
NC_001491.2	LoRTIA	intron	121109	121279	60	.	.		12h-1	60	59	66	12	5	0	0	0	0	9	5	6	56	28	22	8	3	30	46	43	56	52	44	40	46	40	86
NC_001491.2	LoRTIA	intron	121109	121286	96	+	.	GT/AG	12h-1	96	84	103	13	7	6	0	0	0	10	6	5	104	63	82	12	15	47	73	73	81	88	72	53	72	75	155
NC_001491.2	LoRTIA	intron	121385	121583	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	121085	121280	16	-	.	AT/AC	12h-1	16	8	16	0	2	0	0	0	0	6	2	5	11	12	8	4	0	12	8	13	20	17	13	12	11	17	25
NC_001491.2	LoRTIA	intron	123186	123230	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
